Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTP-03.OWSelect,DB3.X670.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.PV,DB3.REAL678,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.Ready,DB3.X670.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.SP,DB3.REAL674,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.SP_Ctrl,DB3.REAL710,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.SPLVH,DB3.REAL702,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.SPLVL,DB3.REAL706,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.VI,DB3.REAL662,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.Volume,DB3.REAL682,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.WI,DB3.REAL666,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.CDBLVH,DB3.REAL1062,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.CDBLVL,DB3.REAL1066,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.DB,DB3.REAL1070,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.Dens,DB3.REAL1074,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.LI,DB3.REAL1034,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.Mode,DB3.WORD1048,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.OWSelect,DB3.X1046.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.PV,DB3.REAL1054,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.Ready,DB3.X1046.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.SP,DB3.REAL1050,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.SP_Ctrl,DB3.REAL1086,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.SPLVH,DB3.REAL1078,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.SPLVL,DB3.REAL1082,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.VI,DB3.REAL1038,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.Volume,DB3.REAL1058,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-04.WI,DB3.REAL1042,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.CDBLVH,DB3.REAL1438,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-05.CDBLVL,DB3.REAL1442,Float,1,R/W,1000,,,,,,,,,,,
